ID	RA	DEC	I
OGLE-LMC-CEP-0001	04:30:57.73	-69:03:37.40	17.777
OGLE-LMC-CEP-0003	04:35:05.71	-70:25:26.90	17.847
OGLE-LMC-CEP-0004	04:35:20.15	-69:48:07.70	15.128
OGLE-LMC-CEP-0006	04:35:42.16	-69:43:29.20	14.697
OGLE-LMC-CEP-0007	04:36:30.05	-68:37:35.70	16.932
OGLE-LMC-CEP-0009	04:36:52.13	-68:03:51.40	15.479
OGLE-LMC-CEP-0010	04:36:56.47	-68:14:27.00	14.971
OGLE-LMC-CEP-0013	04:37:51.01	-69:17:18.60	15.563
OGLE-LMC-CEP-0014	04:38:18.92	-69:53:16.50	14.751
OGLE-LMC-CEP-0015	04:38:32.29	-69:21:09.60	15.537
OGLE-LMC-CEP-0019	04:39:03.28	-68:18:35.20	15.621
OGLE-LMC-CEP-0020	04:39:30.51	-69:13:49.20	14.734
OGLE-LMC-CEP-0022	04:39:52.90	-69:49:55.00	14.52
OGLE-LMC-CEP-0029	04:41:35.43	-70:02:42.30	15.393
OGLE-LMC-CEP-0030	04:41:39.58	-70:05:49.10	17.041
OGLE-LMC-CEP-0031	04:41:44.88	-69:06:55.50	14.423
OGLE-LMC-CEP-0038	04:42:15.88	-69:13:01.40	14.975
OGLE-LMC-CEP-0043	04:43:03.84	-68:51:24.60	14.825
OGLE-LMC-CEP-0047	04:43:25.61	-69:53:49.40	15.237
OGLE-LMC-CEP-0051	04:43:44.16	-70:18:14.70	15.562
OGLE-LMC-CEP-0052	04:43:54.22	-68:49:14.90	15.111
OGLE-LMC-CEP-0054	04:44:06.11	-70:05:43.80	15.218
OGLE-LMC-CEP-0062	04:45:13.64	-68:54:51.80	15.264
OGLE-LMC-CEP-0065	04:45:29.37	-68:19:16.30	18.223
OGLE-LMC-CEP-0066	04:45:34.18	-69:53:54.00	15.712
OGLE-LMC-CEP-0069	04:45:38.68	-68:39:06.30	15.643
OGLE-LMC-CEP-0071	04:46:06.32	-68:46:31.80	15.969
OGLE-LMC-CEP-0074	04:46:38.50	-66:57:48.70	15.446
OGLE-LMC-CEP-0077	04:46:56.52	-68:07:42.80	14.959
OGLE-LMC-CEP-0080	04:47:11.09	-67:40:02.80	14.876
OGLE-LMC-CEP-0082	04:47:14.88	-69:59:47.40	14.174
OGLE-LMC-CEP-0084	04:47:20.05	-69:29:12.90	14.741
OGLE-LMC-CEP-0085	04:47:20.06	-69:56:42.00	14.875
OGLE-LMC-CEP-0086	04:47:22.82	-69:26:10.10	15.469
OGLE-LMC-CEP-0088	04:47:31.00	-69:30:47.90	15.36
OGLE-LMC-CEP-0092	04:47:47.57	-67:51:57.90	15.604
OGLE-LMC-CEP-0093	04:47:57.81	-70:19:33.50	15.587
OGLE-LMC-CEP-0096	04:48:04.36	-69:18:25.90	14.536
OGLE-LMC-CEP-0097	04:48:26.72	-67:32:47.10	14.43
OGLE-LMC-CEP-0098	04:48:29.07	-70:28:43.30	16.638
OGLE-LMC-CEP-0099	04:48:30.90	-68:33:42.90	16.367
OGLE-LMC-CEP-0110	04:48:58.98	-70:04:20.00	14.776
OGLE-LMC-CEP-0113	04:49:11.23	-68:54:29.30	15.778
OGLE-LMC-CEP-0115	04:49:13.05	-70:09:20.50	15.176
OGLE-LMC-CEP-0117	04:49:15.86	-68:07:59.30	15.461
OGLE-LMC-CEP-0118	04:49:16.20	-69:20:19.40	15.714
OGLE-LMC-CEP-0119	04:49:16.98	-69:12:24.90	15.501
OGLE-LMC-CEP-0120	04:49:19.16	-68:28:28.20	16.986
OGLE-LMC-CEP-0121	04:49:20.23	-69:56:58.20	14.71
OGLE-LMC-CEP-0124	04:49:25.31	-69:07:50.40	15.933
OGLE-LMC-CEP-0125	04:49:32.10	-67:47:36.90	14.859
OGLE-LMC-CEP-0127	04:49:36.01	-70:37:11.40	15.188
OGLE-LMC-CEP-0129	04:49:44.00	-69:35:55.40	15.528
OGLE-LMC-CEP-0133	04:49:46.65	-66:55:42.30	15.857
OGLE-LMC-CEP-0134	04:49:51.16	-70:36:53.00	14.803
OGLE-LMC-CEP-0141	04:49:58.05	-67:57:03.30	15.301
OGLE-LMC-CEP-0143	04:49:59.98	-67:55:28.60	15.977
OGLE-LMC-CEP-0144	04:50:00.49	-66:43:54.00	13.677
OGLE-LMC-CEP-0145	04:50:01.45	-68:35:16.20	15.344
OGLE-LMC-CEP-0148	04:50:04.15	-70:37:14.80	14.259
OGLE-LMC-CEP-0150	04:50:09.75	-70:30:54.00	15.51
OGLE-LMC-CEP-0153	04:50:17.40	-68:47:50.70	15.78
OGLE-LMC-CEP-0156	04:50:20.15	-69:19:49.70	15.435
OGLE-LMC-CEP-0157	04:50:23.08	-67:11:48.30	15.399
OGLE-LMC-CEP-0182	04:51:05.24	-66:50:58.30	16.533
OGLE-LMC-CEP-0184	04:51:07.49	-68:50:25.50	15.874
OGLE-LMC-CEP-0185	04:51:08.06	-69:18:35.20	18.185
OGLE-LMC-CEP-0187	04:51:12.33	-67:15:20.60	14.103
OGLE-LMC-CEP-0190	04:51:15.60	-70:13:52.00	15.351
OGLE-LMC-CEP-0192	04:51:19.24	-66:50:52.00	18.199
OGLE-LMC-CEP-0193	04:51:20.34	-68:18:12.80	15.727
OGLE-LMC-CEP-0195	04:51:23.10	-70:37:59.90	14.257
OGLE-LMC-CEP-0202	04:51:37.49	-68:18:02.90	15.972
OGLE-LMC-CEP-0203	04:51:37.99	-68:27:21.10	15.95
OGLE-LMC-CEP-0204	04:51:38.18	-69:33:11.20	15.978
OGLE-LMC-CEP-0208	04:51:47.94	-69:29:25.30	15.427
OGLE-LMC-CEP-0220	04:52:11.96	-68:43:41.80	15.533
OGLE-LMC-CEP-0221	04:52:12.52	-69:25:27.80	15.493
OGLE-LMC-CEP-0231	04:52:23.99	-69:21:20.40	14.573
OGLE-LMC-CEP-0232	04:52:24.62	-69:20:52.80	18.141
OGLE-LMC-CEP-0233	04:52:24.76	-70:37:33.10	15.619
OGLE-LMC-CEP-0240	04:52:32.52	-68:55:13.30	15.677
OGLE-LMC-CEP-0241	04:52:32.71	-69:17:59.10	17.165
OGLE-LMC-CEP-0243	04:52:39.57	-69:49:17.60	15.231
OGLE-LMC-CEP-0244	04:52:43.21	-68:46:58.60	15.607
OGLE-LMC-CEP-0245	04:52:44.36	-68:25:44.10	14.189
OGLE-LMC-CEP-0247	04:52:46.99	-68:44:12.60	15.055
OGLE-LMC-CEP-0248	04:52:47.64	-70:00:45.60	15.19
