Id	RA	DEC	I
OGLE-LMC-CEP-0002	04:31:47.04	-69:49:09.60	15.672
OGLE-LMC-CEP-0005	04:35:31.52	-69:44:05.90	14.661
OGLE-LMC-CEP-0012	04:37:48.73	-67:12:51.90	15.469
OGLE-LMC-CEP-0016	04:38:32.52	-67:38:46.70	13.707
OGLE-LMC-CEP-0017	04:38:56.83	-69:41:18.20	15.345
OGLE-LMC-CEP-0018	04:38:58.98	-68:57:24.80	15.222
OGLE-LMC-CEP-0021	04:39:30.96	-69:15:42.60	14.722
OGLE-LMC-CEP-0023	04:40:47.48	-68:59:08.30	16.325
OGLE-LMC-CEP-0025	04:40:54.37	-69:06:54.30	15.343
OGLE-LMC-CEP-0026	04:41:12.24	-68:47:59.10	15.466
OGLE-LMC-CEP-0027	04:41:19.49	-67:20:08.10	15.039
OGLE-LMC-CEP-0028	04:41:26.92	-69:37:54.40	16.62
OGLE-LMC-CEP-0033	04:41:57.93	-69:26:00.80	14.4
OGLE-LMC-CEP-0034	04:42:01.92	-70:38:49.00	13.737
OGLE-LMC-CEP-0035	04:42:06.31	-67:58:11.50	14.375
OGLE-LMC-CEP-0037	04:42:14.88	-68:26:10.60	15.525
OGLE-LMC-CEP-0039	04:42:38.01	-68:30:59.30	15.415
OGLE-LMC-CEP-0040	04:42:47.26	-69:49:00.50	14.662
OGLE-LMC-CEP-0041	04:42:53.73	-67:25:59.80	15.522
OGLE-LMC-CEP-0042	04:43:01.61	-70:10:01.60	15.673
OGLE-LMC-CEP-0044	04:43:10.48	-67:14:00.90	14.933
OGLE-LMC-CEP-0045	04:43:10.74	-67:16:58.00	16.165
OGLE-LMC-CEP-0046	04:43:20.85	-69:13:47.90	13.95
OGLE-LMC-CEP-0048	04:43:31.45	-69:37:28.90	14.451
OGLE-LMC-CEP-0049	04:43:35.58	-70:41:46.50	15.328
OGLE-LMC-CEP-0050	04:43:40.32	-69:34:14.20	14.181
OGLE-LMC-CEP-0053	04:44:04.82	-69:50:29.10	15.708
OGLE-LMC-CEP-0055	04:44:34.06	-67:04:21.40	15.433
OGLE-LMC-CEP-0056	04:44:47.04	-70:13:51.00	15.384
OGLE-LMC-CEP-0057	04:44:52.68	-69:01:59.50	13.885
OGLE-LMC-CEP-0058	04:44:53.34	-69:11:29.70	14.982
OGLE-LMC-CEP-0059	04:44:54.90	-68:38:21.70	15.011
OGLE-LMC-CEP-0060	04:44:59.58	-69:49:55.70	15.391
OGLE-LMC-CEP-0063	04:45:18.63	-69:16:38.60	-99.99
OGLE-LMC-CEP-0064	04:45:29.34	-69:08:49.40	15.268
