ID	CE_p
OGLE-LMC-CEP-0001	0.8863
OGLE-LMC-CEP-0003	0.3501
OGLE-LMC-CEP-0004	2.2296
OGLE-LMC-CEP-0006	3.2948
OGLE-LMC-CEP-0007	0.7091
OGLE-LMC-CEP-0009	2.0243
OGLE-LMC-CEP-0010	2.5655
OGLE-LMC-CEP-0013	1.5986
OGLE-LMC-CEP-0014	3.1359
OGLE-LMC-CEP-0015	1.6557
OGLE-LMC-CEP-0019	1.9291
OGLE-LMC-CEP-0020	3.0111
OGLE-LMC-CEP-0022	3.4775
OGLE-LMC-CEP-0029	1.9936
OGLE-LMC-CEP-0030	1.2071
OGLE-LMC-CEP-0031	4.34
OGLE-LMC-CEP-0038	2.755
OGLE-LMC-CEP-0043	3.1486
OGLE-LMC-CEP-0047	2.0714
OGLE-LMC-CEP-0051	1.7545
OGLE-LMC-CEP-0052	2.3856
OGLE-LMC-CEP-0054	2.2765
OGLE-LMC-CEP-0062	2.1531
OGLE-LMC-CEP-0065	0.2526
OGLE-LMC-CEP-0066	1.9493
OGLE-LMC-CEP-0069	1.8078
OGLE-LMC-CEP-0071	1.3859
OGLE-LMC-CEP-0074	1.7931
OGLE-LMC-CEP-0077	2.9661
OGLE-LMC-CEP-0080	3.4197
OGLE-LMC-CEP-0082	4.9304
OGLE-LMC-CEP-0084	3.4995
OGLE-LMC-CEP-0085	3.0302
OGLE-LMC-CEP-0086	2.0407
OGLE-LMC-CEP-0088	2.0455
OGLE-LMC-CEP-0092	1.6207
OGLE-LMC-CEP-0093	2.1698
OGLE-LMC-CEP-0096	4.338
OGLE-LMC-CEP-0097	3.9947
OGLE-LMC-CEP-0098	1.0012
OGLE-LMC-CEP-0099	1.0931
OGLE-LMC-CEP-0110	2.1199
OGLE-LMC-CEP-0113	1.8384
OGLE-LMC-CEP-0115	2.5146
OGLE-LMC-CEP-0117	1.8851
OGLE-LMC-CEP-0118	1.9989
OGLE-LMC-CEP-0119	2.2091
OGLE-LMC-CEP-0120	0.7471
OGLE-LMC-CEP-0121	3.5331
OGLE-LMC-CEP-0124	1.5152
OGLE-LMC-CEP-0125	2.7163
OGLE-LMC-CEP-0127	2.2386
OGLE-LMC-CEP-0129	1.9096
OGLE-LMC-CEP-0133	1.3839
OGLE-LMC-CEP-0134	3.2424
OGLE-LMC-CEP-0141	1.8765
OGLE-LMC-CEP-0143	1.4336
OGLE-LMC-CEP-0144	4.6194
OGLE-LMC-CEP-0145	2.5163
OGLE-LMC-CEP-0148	4.6465
OGLE-LMC-CEP-0150	1.7669
OGLE-LMC-CEP-0153	1.9527
OGLE-LMC-CEP-0156	2.2391
OGLE-LMC-CEP-0157	1.775
OGLE-LMC-CEP-0182	1.0458
OGLE-LMC-CEP-0184	1.7935
OGLE-LMC-CEP-0185	0.2932
OGLE-LMC-CEP-0187	4.842
OGLE-LMC-CEP-0190	1.9127
OGLE-LMC-CEP-0192	0.4282
OGLE-LMC-CEP-0193	1.6917
OGLE-LMC-CEP-0195	4.7522
OGLE-LMC-CEP-0202	1.4906
OGLE-LMC-CEP-0203	1.5045
OGLE-LMC-CEP-0204	1.3529
OGLE-LMC-CEP-0208	2.0359
OGLE-LMC-CEP-0220	1.8776
OGLE-LMC-CEP-0221	2.2164
OGLE-LMC-CEP-0231	1.8994
OGLE-LMC-CEP-0232	0.9037
OGLE-LMC-CEP-0233	2.0847
OGLE-LMC-CEP-0240	1.7206
OGLE-LMC-CEP-0241	0.7646
OGLE-LMC-CEP-0243	2.3435
OGLE-LMC-CEP-0244	1.9018
OGLE-LMC-CEP-0245	4.8586
OGLE-LMC-CEP-0247	2.3283
OGLE-LMC-CEP-0248	2.4292
OGLE-LMC-CEP-0251	4.1853
OGLE-LMC-CEP-0252	4.0024
OGLE-LMC-CEP-0256	2.589
OGLE-LMC-CEP-0260	1.5509
OGLE-LMC-CEP-0265	2.2544
OGLE-LMC-CEP-0268	2.0156
OGLE-LMC-CEP-0283	0.8666
OGLE-LMC-CEP-0284	1.8328
OGLE-LMC-CEP-0287	2.4047
OGLE-LMC-CEP-0288	1.0931
OGLE-LMC-CEP-0294	2.3623
OGLE-LMC-CEP-0297	4.8072
OGLE-LMC-CEP-0300	4.2159
OGLE-LMC-CEP-0302	2.344
OGLE-LMC-CEP-0305	2.4341
OGLE-LMC-CEP-0307	1.3091
OGLE-LMC-CEP-0310	5.1742
OGLE-LMC-CEP-0312	1.1193
OGLE-LMC-CEP-0314	0.3347
OGLE-LMC-CEP-0315	1.7313
OGLE-LMC-CEP-0318	1.9522
OGLE-LMC-CEP-0320	0.4693
OGLE-LMC-CEP-0323	2.188
OGLE-LMC-CEP-0326	3.1221
OGLE-LMC-CEP-0327	0.8822
OGLE-LMC-CEP-0330	1.8741
OGLE-LMC-CEP-0334	1.7221
OGLE-LMC-CEP-0338	2.8669
OGLE-LMC-CEP-0342	2.1937
OGLE-LMC-CEP-0343	3.1163
OGLE-LMC-CEP-0347	1.7363
OGLE-LMC-CEP-0348	2.145
OGLE-LMC-CEP-0358	2.1052
OGLE-LMC-CEP-0363	1.8926
OGLE-LMC-CEP-0368	2.3198
OGLE-LMC-CEP-0371	2.0683
OGLE-LMC-CEP-0372	2.1177
OGLE-LMC-CEP-0374	1.8387
OGLE-LMC-CEP-0376	2.0744
OGLE-LMC-CEP-0379	2.0672
OGLE-LMC-CEP-0381	2.1795
OGLE-LMC-CEP-0383	1.951
OGLE-LMC-CEP-0386	1.1224
OGLE-LMC-CEP-0388	1.6392
OGLE-LMC-CEP-0389	0.806
OGLE-LMC-CEP-0393	1.8735
OGLE-LMC-CEP-0395	2.4805
OGLE-LMC-CEP-0397	1.4772
OGLE-LMC-CEP-0399	2.8233
OGLE-LMC-CEP-0402	2.9713
OGLE-LMC-CEP-0403	1.7105
OGLE-LMC-CEP-0405	2.1432
OGLE-LMC-CEP-0409	2.5763
OGLE-LMC-CEP-0410	1.7032
OGLE-LMC-CEP-0412	0.9988
OGLE-LMC-CEP-0415	1.9544
OGLE-LMC-CEP-0416	1.0138
OGLE-LMC-CEP-0417	2.1589
OGLE-LMC-CEP-0418	3.1271
OGLE-LMC-CEP-0419	2.124
OGLE-LMC-CEP-0420	1.8282
OGLE-LMC-CEP-0421	2.2154
OGLE-LMC-CEP-0424	2.3412
OGLE-LMC-CEP-0426	1.638
OGLE-LMC-CEP-0427	4.112
OGLE-LMC-CEP-0431	2.4017
OGLE-LMC-CEP-0444	3.885
OGLE-LMC-CEP-0446	3.544
OGLE-LMC-CEP-0448	1.6741
OGLE-LMC-CEP-0449	3.6173
OGLE-LMC-CEP-0452	1.3805
OGLE-LMC-CEP-0453	2.7002
OGLE-LMC-CEP-0454	1.8789
OGLE-LMC-CEP-0455	2.7151
OGLE-LMC-CEP-0456	0.2814
OGLE-LMC-CEP-0468	2.1681
OGLE-LMC-CEP-0469	2.3562
OGLE-LMC-CEP-0470	1.9339
OGLE-LMC-CEP-0471	2.1713
OGLE-LMC-CEP-0472	3.2837
OGLE-LMC-CEP-0474	0.8159
OGLE-LMC-CEP-0477	1.9592
OGLE-LMC-CEP-0483	1.0879
OGLE-LMC-CEP-0485	0.6908
OGLE-LMC-CEP-0489	1.1835
OGLE-LMC-CEP-0495	2.0745
OGLE-LMC-CEP-0497	2.4347
OGLE-LMC-CEP-0506	4.4549
OGLE-LMC-CEP-0511	2.1353
OGLE-LMC-CEP-0515	1.9443
