ID	CE_p
OGLE-LMC-CEP-0002	3.118
OGLE-LMC-CEP-0005	5.6122
OGLE-LMC-CEP-0012	2.6602
OGLE-LMC-CEP-0016	10.5032
OGLE-LMC-CEP-0017	3.6771
OGLE-LMC-CEP-0018	4.0482
OGLE-LMC-CEP-0021	5.4577
OGLE-LMC-CEP-0023	1.7018
OGLE-LMC-CEP-0025	3.7335
OGLE-LMC-CEP-0026	2.5707
OGLE-LMC-CEP-0027	3.5229
OGLE-LMC-CEP-0028	1.263
OGLE-LMC-CEP-0033	7.1815
OGLE-LMC-CEP-0034	11.2537
OGLE-LMC-CEP-0035	6.9441
OGLE-LMC-CEP-0037	3.067
OGLE-LMC-CEP-0039	3.1474
OGLE-LMC-CEP-0040	5.165
OGLE-LMC-CEP-0041	2.9107
OGLE-LMC-CEP-0042	2.577
OGLE-LMC-CEP-0044	4.0358
OGLE-LMC-CEP-0045	1.867
OGLE-LMC-CEP-0046	8.8425
OGLE-LMC-CEP-0048	5.5489
OGLE-LMC-CEP-0049	3.849
OGLE-LMC-CEP-0050	7.8452
OGLE-LMC-CEP-0053	2.6339
OGLE-LMC-CEP-0055	2.8621
OGLE-LMC-CEP-0056	3.6672
OGLE-LMC-CEP-0057	10.3062
OGLE-LMC-CEP-0058	4.3156
OGLE-LMC-CEP-0059	4.3907
OGLE-LMC-CEP-0060	3.4065
OGLE-LMC-CEP-0064	3.2292
OGLE-LMC-CEP-0067	3.4855
OGLE-LMC-CEP-0070	13.7447
OGLE-LMC-CEP-0072	2.3366
OGLE-LMC-CEP-0075	3.4188
OGLE-LMC-CEP-0076	5.147
OGLE-LMC-CEP-0078	7.3822
OGLE-LMC-CEP-0079	22.5388
OGLE-LMC-CEP-0087	3.5903
OGLE-LMC-CEP-0089	4.6939
OGLE-LMC-CEP-0090	4.0003
OGLE-LMC-CEP-0091	3.5988
OGLE-LMC-CEP-0094	3.2127
OGLE-LMC-CEP-0095	2.775
OGLE-LMC-CEP-0100	3.2094
OGLE-LMC-CEP-0101	8.1901
OGLE-LMC-CEP-0103	7.1564
OGLE-LMC-CEP-0104	3.1094
OGLE-LMC-CEP-0105	4.7408
OGLE-LMC-CEP-0106	3.2675
OGLE-LMC-CEP-0107	8.7381
OGLE-LMC-CEP-0108	3.7476
OGLE-LMC-CEP-0109	2.8533
OGLE-LMC-CEP-0111	1.6129
OGLE-LMC-CEP-0114	10.3709
OGLE-LMC-CEP-0116	3.4149
OGLE-LMC-CEP-0122	1.293
OGLE-LMC-CEP-0123	6.8885
OGLE-LMC-CEP-0126	7.6984
OGLE-LMC-CEP-0128	3.8458
OGLE-LMC-CEP-0130	3.412
OGLE-LMC-CEP-0131	2.8696
OGLE-LMC-CEP-0132	3.061
OGLE-LMC-CEP-0138	2.3755
OGLE-LMC-CEP-0139	9.7734
OGLE-LMC-CEP-0140	2.4203
OGLE-LMC-CEP-0142	3.7721
OGLE-LMC-CEP-0149	3.079
OGLE-LMC-CEP-0151	9.3633
OGLE-LMC-CEP-0152	3.6936
OGLE-LMC-CEP-0154	4.1644
OGLE-LMC-CEP-0155	9.8508
OGLE-LMC-CEP-0158	7.2293
