# Extinction map of the Large Magellanic Cloud derived using OGLE-III RR Lyr stars
#
# When using this map, please cite our paper: Pejcha & Stanek (2009)
#
# Version: May 19 2009
#
# Description
# 
# The map is given sinusoidal projection. You can compute projected coordinates (x,y) for your target from
#  x = (RA-80.35)*cos(DEC)
#  y = DEC+69.68
# Here RA and DEC are given in degrees. The map is pixelized in fixed spatial resolution of 0.2 sq. deg.
#
# Column 1: Minimum x
# Column 2: Maximum x
# Column 3: Minimum y
# Column 4: Maximum y
# Column 5: mean E(V-I)
# Column 6: rms of E(V-I)
# Column 7: internal reddening in the sense E(V-I)_distant - E(V-I)_close
# Column 8: Number of stars in pixel
#
#
# If number of stars in pixel is < 2 we give zeros in Columns 5-7.
# If number of stars in pixel is < 4 we give zero in Column 7.
# Robust rms scatter of internal reddening is 0.058 mag. Therefore, all values of internal reddening that are lower than ~0.06 mag are consistent with zero.
#
#
minX     maxX    minY    maxY   Ext    rms     delta  n
-4.700  -4.500  -3.400  -3.200  0.000  0.000   0.000  0
-4.700  -4.500  -3.200  -3.000  0.000  0.000   0.000  0
-4.700  -4.500  -3.000  -2.800  0.000  0.000   0.000  0
-4.700  -4.500  -2.800  -2.600  0.000  0.000   0.000  0
-4.700  -4.500  -2.600  -2.400  0.000  0.000   0.000  0
-4.700  -4.500  -2.400  -2.200  0.000  0.000   0.000  0
-4.700  -4.500  -2.200  -2.000  0.000  0.000   0.000  0
-4.700  -4.500  -2.000  -1.800  0.000  0.000   0.000  0
-4.700  -4.500  -1.800  -1.600  0.000  0.000   0.000  0
-4.700  -4.500  -1.600  -1.400  0.000  0.000   0.000  0
-4.700  -4.500  -1.400  -1.200  0.000  0.000   0.000  0
-4.700  -4.500  -1.200  -1.000  0.000  0.000   0.000  0
-4.700  -4.500  -1.000  -0.800  0.000  0.000   0.000  0
-4.700  -4.500  -0.800  -0.600  0.000  0.000   0.000  0
-4.700  -4.500  -0.600  -0.400  0.000  0.000   0.000  0
-4.700  -4.500  -0.400  -0.200  0.000  0.000   0.000  0
-4.700  -4.500  -0.200  -0.000  0.000  0.000   0.000  0
-4.700  -4.500   0.000   0.200  0.000  0.000   0.000  0
-4.700  -4.500   0.200   0.400  0.000  0.000   0.000  0
-4.700  -4.500   0.400   0.600  0.000  0.000   0.000  0
-4.700  -4.500   0.600   0.800  0.000  0.000   0.000  0
-4.700  -4.500   0.800   1.000  0.000  0.000   0.000  0
-4.700  -4.500   1.000   1.200  0.000  0.000   0.000  0
-4.700  -4.500   1.200   1.400  0.000  0.000   0.000  0
-4.700  -4.500   1.400   1.600  0.000  0.000   0.000  0
-4.700  -4.500   1.600   1.800  0.000  0.000   0.000  0
-4.700  -4.500   1.800   2.000  0.000  0.000   0.000  0
-4.700  -4.500   2.000   2.200  0.000  0.000   0.000  0
-4.700  -4.500   2.200   2.400  0.000  0.000   0.000  0
-4.700  -4.500   2.400   2.600  0.000  0.000   0.000  0
-4.700  -4.500   2.600   2.800  0.000  0.000   0.000  0
-4.700  -4.500   2.800   3.000  0.000  0.000   0.000  0
-4.700  -4.500   3.000   3.200  0.000  0.000   0.000  0
-4.700  -4.500   3.200   3.400  0.000  0.000   0.000  0
-4.500  -4.300  -3.400  -3.200  0.000  0.000   0.000  0
-4.500  -4.300  -3.200  -3.000  0.000  0.000   0.000  0
-4.500  -4.300  -3.000  -2.800  0.000  0.000   0.000  0
-4.500  -4.300  -2.800  -2.600  0.000  0.000   0.000  0
-4.500  -4.300  -2.600  -2.400  0.000  0.000   0.000  0
-4.500  -4.300  -2.400  -2.200  0.000  0.000   0.000  0
-4.500  -4.300  -2.200  -2.000  0.000  0.000   0.000  0
-4.500  -4.300  -2.000  -1.800  0.000  0.000   0.000  0
-4.500  -4.300  -1.800  -1.600  0.000  0.000   0.000  0
-4.500  -4.300  -1.600  -1.400  0.000  0.000   0.000  0
-4.500  -4.300  -1.400  -1.200  0.000  0.000   0.000  0
-4.500  -4.300  -1.200  -1.000  0.139  0.049   0.000  3
-4.500  -4.300  -1.000  -0.800  0.000  0.000   0.000  1
-4.500  -4.300  -0.800  -0.600  0.163  0.051   0.000  3
-4.500  -4.300  -0.600  -0.400  0.120  0.024   0.000  3
-4.500  -4.300  -0.400  -0.200  0.000  0.000   0.000  1
-4.500  -4.300  -0.200  -0.000  0.189  0.161  -0.132  4
-4.500  -4.300   0.000   0.200  0.097  0.002   0.000  2
-4.500  -4.300   0.200   0.400  0.150  0.034   0.000  2
-4.500  -4.300   0.400   0.600  0.115  0.005   0.000  2
-4.500  -4.300   0.600   0.800  0.140  0.042   0.000  2
-4.500  -4.300   0.800   1.000  0.119  0.010  -0.020  4
-4.500  -4.300   1.000   1.200  0.114  0.046   0.000  2
-4.500  -4.300   1.200   1.400  0.123  0.038   0.000  2
-4.500  -4.300   1.400   1.600  0.000  0.000   0.000  1
-4.500  -4.300   1.600   1.800  0.083  0.033   0.000  3
-4.500  -4.300   1.800   2.000  0.088  0.038   0.000  2
-4.500  -4.300   2.000   2.200  0.000  0.000   0.000  0
-4.500  -4.300   2.200   2.400  0.072  0.030  -0.042  4
-4.500  -4.300   2.400   2.600  0.072  0.046   0.000  2
-4.500  -4.300   2.600   2.800  0.045  0.046   0.000  2
-4.500  -4.300   2.800   3.000  0.045  0.040  -0.027  4
-4.500  -4.300   3.000   3.200  0.000  0.000   0.000  0
-4.500  -4.300   3.200   3.400  0.000  0.000   0.000  0
-4.300  -4.100  -3.400  -3.200  0.000  0.000   0.000  0
-4.300  -4.100  -3.200  -3.000  0.000  0.000   0.000  0
-4.300  -4.100  -3.000  -2.800  0.000  0.000   0.000  0
-4.300  -4.100  -2.800  -2.600  0.000  0.000   0.000  0
-4.300  -4.100  -2.600  -2.400  0.000  0.000   0.000  0
-4.300  -4.100  -2.400  -2.200  0.000  0.000   0.000  0
-4.300  -4.100  -2.200  -2.000  0.000  0.000   0.000  0
-4.300  -4.100  -2.000  -1.800  0.000  0.000   0.000  0
-4.300  -4.100  -1.800  -1.600  0.000  0.000   0.000  0
-4.300  -4.100  -1.600  -1.400  0.000  0.000   0.000  0
-4.300  -4.100  -1.400  -1.200  0.000  0.000   0.000  0
-4.300  -4.100  -1.200  -1.000  0.000  0.000   0.000  0
-4.300  -4.100  -1.000  -0.800  0.134  0.040   0.000  3
-4.300  -4.100  -0.800  -0.600  0.000  0.000   0.000  0
-4.300  -4.100  -0.600  -0.400  0.149  0.047  -0.013  5
-4.300  -4.100  -0.400  -0.200  0.142  0.043   0.008  4
-4.300  -4.100  -0.200  -0.000  0.000  0.000   0.000  1
-4.300  -4.100   0.000   0.200  0.000  0.000   0.000  0
-4.300  -4.100   0.200   0.400  0.055  0.042  -0.075  5
-4.300  -4.100   0.400   0.600  0.081  0.001   0.000  2
-4.300  -4.100   0.600   0.800  0.150  0.035  -0.067  4
-4.300  -4.100   0.800   1.000  0.089  0.038   0.000  2
-4.300  -4.100   1.000   1.200  0.110  0.052   0.000  3
-4.300  -4.100   1.200   1.400  0.073  0.013   0.000  2
-4.300  -4.100   1.400   1.600  0.120  0.006   0.000  3
-4.300  -4.100   1.600   1.800  0.091  0.032   0.009  4
-4.300  -4.100   1.800   2.000  0.078  0.027   0.000  3
-4.300  -4.100   2.000   2.200  0.077  0.066   0.000  3
-4.300  -4.100   2.200   2.400  0.105  0.005   0.000  2
-4.300  -4.100   2.400   2.600  0.101  0.020   0.008  4
-4.300  -4.100   2.600   2.800  0.054  0.076   0.000  2
-4.300  -4.100   2.800   3.000  0.000  0.000   0.000  1
-4.300  -4.100   3.000   3.200  0.000  0.000   0.000  1
-4.300  -4.100   3.200   3.400  0.000  0.000   0.000  0
-4.100  -3.900  -3.400  -3.200  0.000  0.000   0.000  0
-4.100  -3.900  -3.200  -3.000  0.000  0.000   0.000  0
-4.100  -3.900  -3.000  -2.800  0.000  0.000   0.000  0
-4.100  -3.900  -2.800  -2.600  0.000  0.000   0.000  0
-4.100  -3.900  -2.600  -2.400  0.000  0.000   0.000  0
-4.100  -3.900  -2.400  -2.200  0.000  0.000   0.000  0
-4.100  -3.900  -2.200  -2.000  0.000  0.000   0.000  0
-4.100  -3.900  -2.000  -1.800  0.000  0.000   0.000  0
-4.100  -3.900  -1.800  -1.600  0.000  0.000   0.000  0
-4.100  -3.900  -1.600  -1.400  0.000  0.000   0.000  0
-4.100  -3.900  -1.400  -1.200  0.000  0.000   0.000  0
-4.100  -3.900  -1.200  -1.000  0.156  0.001   0.000  2
-4.100  -3.900  -1.000  -0.800  0.000  0.000   0.000  1
-4.100  -3.900  -0.800  -0.600  0.178  0.047   0.000  2
-4.100  -3.900  -0.600  -0.400  0.151  0.019   0.007  6
-4.100  -3.900  -0.400  -0.200  0.177  0.008   0.000  3
-4.100  -3.900  -0.200  -0.000  0.175  0.067  -0.029  4
-4.100  -3.900   0.000   0.200  0.110  0.028  -0.045  4
-4.100  -3.900   0.200   0.400  0.101  0.018   0.000  3
-4.100  -3.900   0.400   0.600  0.134  0.030  -0.046  5
-4.100  -3.900   0.600   0.800  0.125  0.030   0.037  8
-4.100  -3.900   0.800   1.000  0.167  0.017   0.000  2
-4.100  -3.900   1.000   1.200  0.106  0.037   0.000  2
-4.100  -3.900   1.200   1.400  0.096  0.011   0.011  4
-4.100  -3.900   1.400   1.600  0.098  0.026   0.000  2
-4.100  -3.900   1.600   1.800  0.000  0.000   0.000  0
-4.100  -3.900   1.800   2.000  0.073  0.011   0.000  3
-4.100  -3.900   2.000   2.200  0.059  0.045   0.000  2
-4.100  -3.900   2.200   2.400  0.113  0.027   0.000  3
-4.100  -3.900   2.400   2.600  0.025  0.036   0.000  2
-4.100  -3.900   2.600   2.800  0.000  0.000   0.000  1
-4.100  -3.900   2.800   3.000  0.000  0.000   0.000  1
-4.100  -3.900   3.000   3.200  0.000  0.000   0.000  1
-4.100  -3.900   3.200   3.400  0.000  0.000   0.000  0
-3.900  -3.700  -3.400  -3.200  0.000  0.000   0.000  0
-3.900  -3.700  -3.200  -3.000  0.000  0.000   0.000  0
-3.900  -3.700  -3.000  -2.800  0.000  0.000   0.000  0
-3.900  -3.700  -2.800  -2.600  0.000  0.000   0.000  0
-3.900  -3.700  -2.600  -2.400  0.000  0.000   0.000  0
-3.900  -3.700  -2.400  -2.200  0.000  0.000   0.000  0
-3.900  -3.700  -2.200  -2.000  0.000  0.000   0.000  0
-3.900  -3.700  -2.000  -1.800  0.000  0.000   0.000  0
-3.900  -3.700  -1.800  -1.600  0.000  0.000   0.000  0
-3.900  -3.700  -1.600  -1.400  0.000  0.000   0.000  0
-3.900  -3.700  -1.400  -1.200  0.000  0.000   0.000  0
-3.900  -3.700  -1.200  -1.000  0.177  0.003   0.000  2
-3.900  -3.700  -1.000  -0.800  0.179  0.030   0.000  3
-3.900  -3.700  -0.800  -0.600  0.175  0.039   0.030  5
-3.900  -3.700  -0.600  -0.400  0.000  0.000   0.000  1
-3.900  -3.700  -0.400  -0.200  0.153  0.055   0.000  2
-3.900  -3.700  -0.200  -0.000  0.127  0.060  -0.110  4
-3.900  -3.700   0.000   0.200  0.000  0.000   0.000  1
-3.900  -3.700   0.200   0.400  0.137  0.030  -0.039  4
-3.900  -3.700   0.400   0.600  0.092  0.029   0.000  3
-3.900  -3.700   0.600   0.800  0.114  0.044   0.000  3
-3.900  -3.700   0.800   1.000  0.123  0.013   0.000  2
-3.900  -3.700   1.000   1.200  0.112  0.034   0.009  6
-3.900  -3.700   1.200   1.400  0.103  0.047   0.000  3
-3.900  -3.700   1.400   1.600  0.000  0.000   0.000  1
-3.900  -3.700   1.600   1.800  0.000  0.000   0.000  1
-3.900  -3.700   1.800   2.000  0.118  0.052  -0.054  5
-3.900  -3.700   2.000   2.200  0.057  0.050   0.000  3
-3.900  -3.700   2.200   2.400  0.000  0.000   0.000  1
-3.900  -3.700   2.400   2.600  0.152  0.049   0.000  2
-3.900  -3.700   2.600   2.800  0.084  0.026   0.039  5
-3.900  -3.700   2.800   3.000  0.091  0.001   0.000  2
-3.900  -3.700   3.000   3.200  0.000  0.000   0.000  0
-3.900  -3.700   3.200   3.400  0.000  0.000   0.000  0
-3.700  -3.500  -3.400  -3.200  0.000  0.000   0.000  0
-3.700  -3.500  -3.200  -3.000  0.000  0.000   0.000  0
-3.700  -3.500  -3.000  -2.800  0.000  0.000   0.000  0
-3.700  -3.500  -2.800  -2.600  0.000  0.000   0.000  0
-3.700  -3.500  -2.600  -2.400  0.000  0.000   0.000  0
-3.700  -3.500  -2.400  -2.200  0.000  0.000   0.000  0
-3.700  -3.500  -2.200  -2.000  0.000  0.000   0.000  0
-3.700  -3.500  -2.000  -1.800  0.000  0.000   0.000  0
-3.700  -3.500  -1.800  -1.600  0.000  0.000   0.000  0
-3.700  -3.500  -1.600  -1.400  0.000  0.000   0.000  0
-3.700  -3.500  -1.400  -1.200  0.000  0.000   0.000  0
-3.700  -3.500  -1.200  -1.000  0.000  0.000   0.000  0
-3.700  -3.500  -1.000  -0.800  0.270  0.076  -0.043  4
-3.700  -3.500  -0.800  -0.600  0.092  0.128   0.000  2
-3.700  -3.500  -0.600  -0.400  0.146  0.074   0.000  2
-3.700  -3.500  -0.400  -0.200  0.153  0.029   0.000  3
-3.700  -3.500  -0.200  -0.000  0.151  0.021   0.000  3
-3.700  -3.500   0.000   0.200  0.173  0.024   0.000  3
-3.700  -3.500   0.200   0.400  0.114  0.027   0.000  2
-3.700  -3.500   0.400   0.600  0.164  0.028   0.000  3
-3.700  -3.500   0.600   0.800  0.158  0.022   0.016  4
-3.700  -3.500   0.800   1.000  0.000  0.000   0.000  1
-3.700  -3.500   1.000   1.200  0.062  0.049  -0.006  5
-3.700  -3.500   1.200   1.400  0.116  0.028  -0.052  4
-3.700  -3.500   1.400   1.600  0.140  0.015   0.000  2
-3.700  -3.500   1.600   1.800  0.108  0.073   0.000  2
-3.700  -3.500   1.800   2.000  0.127  0.036  -0.070  4
-3.700  -3.500   2.000   2.200  0.136  0.017   0.000  2
-3.700  -3.500   2.200   2.400  0.129  0.020   0.000  2
-3.700  -3.500   2.400   2.600  0.000  0.000   0.000  1
-3.700  -3.500   2.600   2.800  0.086  0.006   0.000  2
-3.700  -3.500   2.800   3.000  0.000  0.000   0.000  1
-3.700  -3.500   3.000   3.200  0.000  0.000   0.000  0
-3.700  -3.500   3.200   3.400  0.000  0.000   0.000  0
-3.500  -3.300  -3.400  -3.200  0.000  0.000   0.000  0
-3.500  -3.300  -3.200  -3.000  0.000  0.000   0.000  0
-3.500  -3.300  -3.000  -2.800  0.000  0.000   0.000  0
-3.500  -3.300  -2.800  -2.600  0.000  0.000   0.000  0
-3.500  -3.300  -2.600  -2.400  0.000  0.000   0.000  0
-3.500  -3.300  -2.400  -2.200  0.000  0.000   0.000  0
-3.500  -3.300  -2.200  -2.000  0.000  0.000   0.000  0
-3.500  -3.300  -2.000  -1.800  0.000  0.000   0.000  0
-3.500  -3.300  -1.800  -1.600  0.000  0.000   0.000  0
-3.500  -3.300  -1.600  -1.400  0.000  0.000   0.000  0
-3.500  -3.300  -1.400  -1.200  0.000  0.000   0.000  0
-3.500  -3.300  -1.200  -1.000  0.282  0.058   0.000  2
-3.500  -3.300  -1.000  -0.800  0.217  0.035  -0.023  4
-3.500  -3.300  -0.800  -0.600  0.167  0.055   0.095  4
-3.500  -3.300  -0.600  -0.400  0.167  0.042   0.000  3
-3.500  -3.300  -0.400  -0.200  0.140  0.051  -0.019  4
-3.500  -3.300  -0.200  -0.000  0.154  0.032  -0.007  6
-3.500  -3.300   0.000   0.200  0.148  0.029   0.039  5
-3.500  -3.300   0.200   0.400  0.165  0.052  -0.039  6
-3.500  -3.300   0.400   0.600  0.188  0.025   0.029  6
-3.500  -3.300   0.600   0.800  0.121  0.082   0.056  4
-3.500  -3.300   0.800   1.000  0.141  0.027   0.000  3
-3.500  -3.300   1.000   1.200  0.130  0.045   0.000  3
-3.500  -3.300   1.200   1.400  0.131  0.032   0.054  5
-3.500  -3.300   1.400   1.600  0.162  0.090   0.049  9
-3.500  -3.300   1.600   1.800  0.092  0.026   0.042  4
-3.500  -3.300   1.800   2.000  0.195  0.088   0.157  6
-3.500  -3.300   2.000   2.200  0.165  0.036  -0.025  5
-3.500  -3.300   2.200   2.400  0.184  0.202   0.000  2
-3.500  -3.300   2.400   2.600  0.214  0.043   0.052  5
-3.500  -3.300   2.600   2.800  0.102  0.013   0.000  2
-3.500  -3.300   2.800   3.000  0.232  0.274   0.000  3
-3.500  -3.300   3.000   3.200  0.109  0.054   0.000  3
-3.500  -3.300   3.200   3.400  0.000  0.000   0.000  0
-3.300  -3.100  -3.400  -3.200  0.000  0.000   0.000  0
-3.300  -3.100  -3.200  -3.000  0.000  0.000   0.000  0
-3.300  -3.100  -3.000  -2.800  0.000  0.000   0.000  0
-3.300  -3.100  -2.800  -2.600  0.000  0.000   0.000  0
-3.300  -3.100  -2.600  -2.400  0.000  0.000   0.000  0
-3.300  -3.100  -2.400  -2.200  0.000  0.000   0.000  0
-3.300  -3.100  -2.200  -2.000  0.000  0.000   0.000  0
-3.300  -3.100  -2.000  -1.800  0.000  0.000   0.000  0
-3.300  -3.100  -1.800  -1.600  0.000  0.000   0.000  0
-3.300  -3.100  -1.600  -1.400  0.000  0.000   0.000  0
-3.300  -3.100  -1.400  -1.200  0.000  0.000   0.000  0
-3.300  -3.100  -1.200  -1.000  0.256  0.091   0.033  5
-3.300  -3.100  -1.000  -0.800  0.240  0.021   0.014  4
-3.300  -3.100  -0.800  -0.600  0.224  0.031  -0.033  5
-3.300  -3.100  -0.600  -0.400  0.199  0.048  -0.087  4
-3.300  -3.100  -0.400  -0.200  0.213  0.029  -0.017  5
-3.300  -3.100  -0.200  -0.000  0.181  0.052   0.069  5
-3.300  -3.100   0.000   0.200  0.200  0.057   0.093  5
-3.300  -3.100   0.200   0.400  0.159  0.029  -0.049  4
-3.300  -3.100   0.400   0.600  0.205  0.058  -0.010  5
-3.300  -3.100   0.600   0.800  0.264  0.154  -0.030  4
-3.300  -3.100   0.800   1.000  0.233  0.063   0.051  4
-3.300  -3.100   1.000   1.200  0.155  0.086   0.009  7
-3.300  -3.100   1.200   1.400  0.140  0.066   0.058  6
-3.300  -3.100   1.400   1.600  0.116  0.018   0.000  2
-3.300  -3.100   1.600   1.800  0.141  0.059  -0.007  5
-3.300  -3.100   1.800   2.000  0.135  0.062   0.020  6
-3.300  -3.100   2.000   2.200  0.097  0.058  -0.017  6
-3.300  -3.100   2.200   2.400  0.420  0.190   0.000  2
-3.300  -3.100   2.400   2.600  0.101  0.024   0.000  2
-3.300  -3.100   2.600   2.800  0.108  0.054   0.027  6
-3.300  -3.100   2.800   3.000  0.137  0.072   0.056  4
-3.300  -3.100   3.000   3.200  0.000  0.000   0.000  1
