# Date:     2016-06-05 15:47:30
# Database: cvs
# Target:   lmc_rrlyr
# Query:    (type='RRc') 
# Objects:  4958
# Columns:
# ID	Field	StarID	RA	Decl	Type	I	V	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	P_2	dP_2	T0_2	A_2	R21_2	phi21_2	R31_2	phi31_2	ID_OGLE_II	ID_MACHO	ID_GCVS	ID_OTHER	Remarks
OGLE-LMC-RRLYR-00015	LMC158.8	1844	 4:29:43.11	-70:41:11.3	RRc	18.833	19.353	0.3557413	0.0000011	2171.69751	0.253	0.000	-99.99	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00020	LMC157.7	337	 4:30:00.36	-69:59:09.9	RRc	18.900	19.374	0.3730673	0.0000021	2171.58723	0.185	0.000	-99.99	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00029	LMC156.6	411	 4:30:43.58	-69:06:48.4	RRc	18.560	19.054	0.4369010	0.0000023	2184.52229	0.226	0.012	-99.99	0.002	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00032	LMC157.5	2658	 4:30:52.62	-69:36:38.4	RRc	18.764	19.244	0.3535396	0.0000008	2171.83762	0.308	0.134	4.792	0.102	3.804	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00035	LMC157.5	3030	 4:31:07.16	-69:41:07.3	RRc	18.910	19.509	0.3551442	0.0000030	2242.70306	0.237	0.165	5.001	0.001	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00042	LMC158.1	263	 4:31:34.12	-70:38:49.0	RRc	18.805	19.315	0.3926006	0.0000018	2171.67165	0.243	0.131	0.123	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00046	LMC158.3	313	 4:31:45.25	-70:22:39.2	RRc	18.789	19.282	0.3610060	0.0000014	2171.53909	0.264	0.134	4.781	0.010	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00054	LMC156.6	3900	 4:32:01.74	-69:09:49.5	RRc	18.998	19.403	0.2803002	0.0000005	2184.73680	0.326	0.258	4.969	0.117	2.983	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00078	LMC157.3	733	 4:33:04.56	-69:50:01.2	RRc	19.142	19.656	0.3066551	0.0000012	2171.62441	0.271	0.000	-99.99	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00085	LMC157.3	758	 4:33:11.67	-69:44:39.6	RRc	18.905	19.378	0.3256036	0.0000005	2171.54661	0.380	0.227	4.551	0.100	3.066	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00089	LMC158.3	3468	 4:33:19.24	-70:17:29.7	RRc	19.922	20.264	0.3426842	0.0000017	2171.55837	0.312	0.000	-99.99	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00092	LMC154.6	426	 4:33:29.89	-67:59:53.4	RRc	18.865	19.337	0.3552150	0.0000009	2162.67229	0.257	0.148	5.198	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00095	LMC155.8	3949	 4:33:39.87	-68:50:07.1	RRc	19.020	19.469	0.2889380	0.0000006	2171.76025	0.298	0.258	4.618	0.012	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00096	LMC158.3	2631	 4:33:40.29	-70:21:50.3	RRc	18.899	19.432	0.3569553	0.0000009	2171.62355	0.277	0.136	4.936	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00100	LMC158.1	2699	 4:33:45.69	-70:36:30.1	RRc	19.140	19.615	0.3049403	0.0000007	2171.67239	0.335	0.178	4.801	0.165	3.089	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00126	LMC155.5	3558	 4:34:31.65	-68:22:44.5	RRc	18.892	19.364	0.3852799	0.0000010	2171.63810	0.286	0.244	5.161	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00127	LMC157.4	3528	 4:34:33.69	-69:40:02.1	RRc	18.779	19.293	0.4002753	0.0000012	2171.64313	0.298	0.099	5.128	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00128	LMC154.5	3587	 4:34:33.84	-67:54:23.8	RRc	18.778	19.249	0.3569750	0.0000011	2162.75387	0.251	0.189	4.895	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00134	LMC157.3	3835	 4:34:42.57	-69:43:20.5	RRc	19.151	19.559	0.2746477	0.0000006	2171.69927	0.329	0.265	4.872	0.136	3.200	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00135	LMC157.4	3567	 4:34:43.96	-69:40:51.7	RRc	18.748	19.237	0.3548984	0.0000008	2183.55014	0.341	0.226	4.730	0.104	2.537	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00136	LMC153.8	450	 4:34:45.06	-67:46:21.0	RRc	18.814	19.182	0.3300786	0.0000009	2162.64841	0.221	0.153	4.839	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00143	LMC155.3	503	 4:34:48.45	-68:36:10.5	RRc	18.912	-99.99	0.3448953	0.0000030	299.78588	0.264	0.000	-99.99	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00160	LMC155.1	557	 4:35:11.16	-68:50:49.3	RRc	19.044	19.534	0.3436519	0.0000013	2171.56484	0.204	0.000	-99.99	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00166	LMC154.8	4032	 4:35:17.10	-68:14:37.0	RRc	18.741	19.187	0.3362325	0.0000006	2162.57881	0.318	0.129	4.798	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00173	LMC152.5	318	 4:35:27.57	-66:39:47.5	RRc	18.809	19.274	0.3587147	0.0000009	2162.65983	0.273	0.167	5.242	0.007	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00181	LMC156.3	5401	 4:35:40.45	-69:10:03.5	RRc	19.217	19.738	0.2996489	0.0000010	2184.60307	0.266	0.155	5.042	0.010	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00190	LMC151.6	728	 4:35:50.49	-70:24:32.0	RRc	18.970	19.521	0.3544145	0.0000010	2171.58900	0.309	0.146	5.150	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00196	LMC156.3	5434	 4:35:52.92	-69:12:16.7	RRc	19.003	19.525	0.3540795	0.0000010	2184.73574	0.268	0.142	4.931	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00200	LMC155.3	705	 4:35:53.94	-68:36:38.3	RRc	18.920	19.278	0.2891933	0.0000006	2171.68718	0.327	0.270	4.417	0.088	2.323	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00201	LMC153.8	3604	 4:35:56.69	-67:42:55.8	RRc	18.980	19.362	0.2956609	0.0000006	2162.71385	0.337	0.232	4.690	0.102	3.039	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00202	LMC156.3	5460	 4:35:58.44	-69:13:04.1	RRc	19.168	19.724	0.3094102	0.0000010	2184.52803	0.258	0.137	5.056	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00213	LMC151.8	4688	 4:36:10.85	-70:39:45.8	RRc	18.983	19.492	0.4389285	0.0000047	2171.86891	0.126	0.000	-99.99	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	uncertain
OGLE-LMC-RRLYR-00227	LMC153.8	3660	 4:36:20.72	-67:40:35.9	RRc	18.846	19.232	0.3155327	0.0000006	2162.68526	0.379	0.325	4.409	0.083	2.807	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00233	LMC155.2	747	 4:36:24.76	-68:41:06.1	RRc	18.780	19.245	0.3691497	0.0000007	2171.53859	0.316	0.153	4.946	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00242	LMC153.5	3261	 4:36:38.32	-67:11:17.1	RRc	18.894	19.253	0.3026338	0.0000005	2162.72919	0.384	0.216	4.634	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00243	LMC155.3	5768	 4:36:41.18	-68:36:13.9	RRc	18.902	19.388	0.3498175	0.0000010	2171.72597	0.262	0.129	5.146	0.100	4.641	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00247	LMC155.4	5408	 4:36:45.21	-68:24:10.3	RRc	18.554	19.029	0.3877168	0.0000008	2171.51458	0.276	0.190	5.009	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00252	LMC151.6	5234	 4:36:51.21	-70:25:40.5	RRc	18.975	-99.99	0.3560705	0.0000025	2171.68408	0.259	0.000	-99.99	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00253	LMC150.6	789	 4:36:52.66	-69:45:30.3	RRc	19.045	19.484	0.2988479	0.0000006	2171.83026	0.341	0.241	5.016	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00255	LMC149.7	617	 4:36:57.21	-69:20:12.7	RRc	18.986	19.479	0.3493812	0.0000008	2165.71335	0.311	0.185	5.058	0.007	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00259	LMC154.3	559	 4:36:59.77	-67:57:09.8	RRc	18.826	19.248	0.3521551	0.0000008	2162.78139	0.267	0.101	5.186	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00260	LMC155.2	5641	 4:37:03.03	-68:42:20.2	RRc	19.015	19.481	0.3105986	0.0000006	2171.80713	0.318	0.212	4.834	0.176	2.672	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00267	LMC149.5	1234	 4:37:11.27	-69:04:07.9	RRc	19.151	19.642	0.3086875	0.0000010	2165.71189	0.230	0.000	-99.99	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00281	LMC154.1	752	 4:37:23.02	-68:13:55.4	RRc	18.789	19.269	0.3447593	0.0000007	2162.66261	0.269	0.141	4.746	0.104	2.655	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00290	LMC153.4	404	 4:37:39.99	-67:15:46.3	RRc	18.728	-99.99	0.3492695	0.0000011	2162.87484	0.322	0.065	4.936	0.085	3.740	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00291	LMC152.6	3036	 4:37:40.30	-66:48:13.9	RRc	18.854	19.266	0.3201349	0.0000006	2162.65278	0.335	0.183	4.859	0.105	2.440	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-RRLYR-00302	LMC155.2	5814	 4:37:49.41	-68:40:30.0	RRc	18.573	19.059	0.3580133	0.0000008	2171.57164	0.289	0.174	5.272	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
