# Date:     2016-06-05 15:37:05
# Database: cvs
# Target:   lmc_cepheids
# Query:    (mode='1') 
# Objects:  1238
# Columns:
# ID	Field	StarID	RA	Decl	Mode	I	V	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	P_2	dP_2	T0_2	A_2	R21_2	phi21_2	R31_2	phi31_2	P_3	dP_3	T0_3	A_3	R21_3	phi21_3	R31_3	phi31_3	ID_OGLE_II	ID_MACHO	ID_ASAS	ID_GCVS	ID_OTHER	Remarks
OGLE-LMC-CEP-0001	LMC156.5	186	 4:30:57.73	-69:03:37.4	1	17.777	18.173	0.3068149	0.0000002	2184.56406	0.349	0.258	4.621	0.089	2.750	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0003	LMC151.6	310	 4:35:05.71	-70:25:26.9	1	17.847	18.359	0.3500934	0.0000006	2171.54695	0.340	0.193	4.773	0.095	3.143	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0004	LMC157.3	2913	 4:35:20.15	-69:48:07.7	1	15.128	15.688	2.2296063	0.0000057	2170.18828	0.249	0.156	4.638	0.012	3.706	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0006	LMC150.6	14	 4:35:42.16	-69:43:29.2	1	14.697	15.365	3.2949240	0.0000124	2169.04099	0.212	0.113	3.473	0.049	0.262	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0007	LMC155.3	5189	 4:36:30.05	-68:37:35.7	1	16.932	17.561	0.7090850	0.0000013	2183.24463	0.189	0.166	3.269	0.123	0.865	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0009	LMC154.3	22	 4:36:52.13	-68:03:51.4	1	15.479	16.137	2.0243989	0.0000239	2250.67297	0.187	0.145	5.018	0.037	3.528	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0010	LMC154.1	22	 4:36:56.47	-68:14:27.0	1	14.971	15.562	2.5655778	0.0000080	2161.61962	0.249	0.067	4.343	0.020	5.687	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0013	LMC149.7	37	 4:37:51.01	-69:17:18.6	1	15.563	16.178	1.5985658	0.0000024	2164.79081	0.299	0.228	4.268	0.066	2.533	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0014	LMC150.7	5155	 4:38:18.92	-69:53:16.5	1	14.751	15.379	3.1358942	0.0000143	2171.32037	0.233	0.125	3.664	0.039	6.095	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0015	LMC149.7	6029	 4:38:32.29	-69:21:09.6	1	15.537	16.135	1.6557113	0.0000028	2164.63700	0.292	0.210	4.220	0.048	2.561	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0019	LMC154.1	4727	 4:39:03.28	-68:18:35.2	1	15.621	16.321	1.9290644	0.0000053	2161.99504	0.167	0.122	4.863	0.019	4.463	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0020	LMC149.6	6095	 4:39:30.51	-69:13:49.2	1	14.734	15.362	3.0111284	0.0000723	2165.48687	0.035	0.060	1.152	0.158	2.765	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0022	LMC150.3	3	 4:39:52.90	-69:49:55.0	1	14.520	15.208	3.4769607	0.0000765	2168.86593	0.078	0.033	3.529	0.005	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0029	LMC150.1	5722	 4:41:35.43	-70:02:42.3	1	15.393	16.088	1.9936021	0.0000082	2170.02590	0.256	0.153	4.357	0.001	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0030	LMC150.1	5799	 4:41:39.58	-70:05:49.1	1	17.041	17.656	0.6035423	0.0000006	2171.74856	0.330	0.229	3.616	0.126	1.056	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0031	LMC149.3	7684	 4:41:44.88	-69:06:55.5	1	14.423	15.149	4.3400772	0.0000217	2164.46164	0.261	0.237	4.508	0.110	2.328	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
