# Date:     2016-06-05 15:32:07
# Database: cvs
# Target:   lmc_cepheids
# Query:    (mode='F') 
# Objects:  1849
# Columns:
# ID	Field	StarID	RA	Decl	Mode	I	V	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	P_2	dP_2	T0_2	A_2	R21_2	phi21_2	R31_2	phi31_2	P_3	dP_3	T0_3	A_3	R21_3	phi21_3	R31_3	phi31_3	ID_OGLE_II	ID_MACHO	ID_ASAS	ID_GCVS	ID_OTHER	Remarks
OGLE-LMC-CEP-0002	LMC157.6	2009	 4:31:47.04	-69:49:09.6	F	15.672	16.412	3.1181195	0.0000161	2171.23921	0.257	0.296	4.705	0.101	2.962	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0005	LMC157.3	2916	 4:35:31.52	-69:44:05.9	F	14.661	15.413	5.6120581	0.0000135	2171.78078	0.521	0.431	4.971	0.167	3.391	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0012	LMC153.4	17	 4:37:48.73	-67:12:51.9	F	15.469	16.067	2.6601882	0.0000022	2162.43751	0.688	0.522	4.402	0.314	2.611	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0016	LMC153.1	11	 4:38:32.52	-67:38:46.7	F	13.707	14.787	10.5064564	0.0015553	2157.57180	0.115	0.028	6.015	0.106	0.923	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	variable mean luminosity
OGLE-LMC-CEP-0017	LMC150.6	5206	 4:38:56.83	-69:41:18.2	F	15.345	15.992	3.6772562	0.0000299	2169.48050	0.611	0.494	4.594	0.287	2.983	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0018	LMC148.8	17	 4:38:58.98	-68:57:24.8	F	15.222	16.051	4.0478526	0.0000275	2165.39166	0.265	0.284	4.567	0.086	2.998	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0021	LMC149.7	6013	 4:39:30.96	-69:15:42.6	F	14.722	15.491	5.4579746	0.0000259	2165.34485	0.431	0.416	4.969	0.145	3.555	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0023	LMC149.4	71	 4:40:47.48	-68:59:08.3	F	16.325	17.044	1.7018254	0.0000019	2164.75709	0.403	0.441	4.352	0.261	2.493	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0025	LMC149.3	41	 4:40:54.37	-69:06:54.3	F	15.343	16.157	3.7334998	0.0000099	2165.69444	0.360	0.409	4.694	0.173	3.131	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0026	LMC148.2	16	 4:41:12.24	-68:47:59.1	F	15.466	16.081	2.5706764	0.0000033	2164.25802	0.622	0.442	4.275	0.228	2.263	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0027	LMC146.6	29	 4:41:19.49	-67:20:08.1	F	15.039	15.641	3.5229468	0.0000052	2165.27241	0.647	0.449	4.377	0.254	2.509	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	V0009	HV12711	-99.99
OGLE-LMC-CEP-0028	LMC150.4	7575	 4:41:26.92	-69:37:54.4	F	16.620	17.276	1.2629545	0.0000007	2171.08146	0.513	0.475	4.174	0.280	2.120	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
