ID	RA	DEC	I
OGLE-LMC-RRLYR-00015	04:29:43.11	-70:41:11.30	18.833
OGLE-LMC-RRLYR-00020	04:30:00.36	-69:59:09.90	18.9
OGLE-LMC-RRLYR-00029	04:30:43.58	-69:06:48.40	18.56
OGLE-LMC-RRLYR-00032	04:30:52.62	-69:36:38.40	18.764
OGLE-LMC-RRLYR-00035	04:31:07.16	-69:41:07.30	18.91
OGLE-LMC-RRLYR-00042	04:31:34.12	-70:38:49.00	18.805
OGLE-LMC-RRLYR-00046	04:31:45.25	-70:22:39.20	18.789
OGLE-LMC-RRLYR-00054	04:32:01.74	-69:09:49.50	18.998
OGLE-LMC-RRLYR-00078	04:33:04.56	-69:50:01.20	19.142
OGLE-LMC-RRLYR-00085	04:33:11.67	-69:44:39.60	18.905
OGLE-LMC-RRLYR-00089	04:33:19.24	-70:17:29.70	19.922
OGLE-LMC-RRLYR-00092	04:33:29.89	-67:59:53.40	18.865
OGLE-LMC-RRLYR-00095	04:33:39.87	-68:50:07.10	19.02
OGLE-LMC-RRLYR-00096	04:33:40.29	-70:21:50.30	18.899
OGLE-LMC-RRLYR-00100	04:33:45.69	-70:36:30.10	19.14
OGLE-LMC-RRLYR-00126	04:34:31.65	-68:22:44.50	18.892
OGLE-LMC-RRLYR-00127	04:34:33.69	-69:40:02.10	18.779
OGLE-LMC-RRLYR-00128	04:34:33.84	-67:54:23.80	18.778
OGLE-LMC-RRLYR-00134	04:34:42.57	-69:43:20.50	19.151
OGLE-LMC-RRLYR-00135	04:34:43.96	-69:40:51.70	18.748
OGLE-LMC-RRLYR-00136	04:34:45.06	-67:46:21.00	18.814
OGLE-LMC-RRLYR-00143	04:34:48.45	-68:36:10.50	18.912
OGLE-LMC-RRLYR-00160	04:35:11.16	-68:50:49.30	19.044
OGLE-LMC-RRLYR-00166	04:35:17.10	-68:14:37.00	18.741
OGLE-LMC-RRLYR-00173	04:35:27.57	-66:39:47.50	18.809
OGLE-LMC-RRLYR-00181	04:35:40.45	-69:10:03.50	19.217
OGLE-LMC-RRLYR-00190	04:35:50.49	-70:24:32.00	18.97
OGLE-LMC-RRLYR-00196	04:35:52.92	-69:12:16.70	19.003
OGLE-LMC-RRLYR-00200	04:35:53.94	-68:36:38.30	18.92
OGLE-LMC-RRLYR-00201	04:35:56.69	-67:42:55.80	18.98
OGLE-LMC-RRLYR-00202	04:35:58.44	-69:13:04.10	19.168
OGLE-LMC-RRLYR-00213	04:36:10.85	-70:39:45.80	18.983
OGLE-LMC-RRLYR-00227	04:36:20.72	-67:40:35.90	18.846
OGLE-LMC-RRLYR-00233	04:36:24.76	-68:41:06.10	18.78
OGLE-LMC-RRLYR-00242	04:36:38.32	-67:11:17.10	18.894
OGLE-LMC-RRLYR-00243	04:36:41.18	-68:36:13.90	18.902
OGLE-LMC-RRLYR-00247	04:36:45.21	-68:24:10.30	18.554
