ID	CE_p
OGLE-LMC-RRLYR-00015	0.553
OGLE-LMC-RRLYR-00020	0.2715
OGLE-LMC-RRLYR-00029	0.4369
OGLE-LMC-RRLYR-00032	0.7071
OGLE-LMC-RRLYR-00035	0.7103
OGLE-LMC-RRLYR-00042	0.3926
OGLE-LMC-RRLYR-00046	0.361
OGLE-LMC-RRLYR-00054	0.2803
OGLE-LMC-RRLYR-00078	0.6133
OGLE-LMC-RRLYR-00085	0.3256
OGLE-LMC-RRLYR-00089	0.5221
OGLE-LMC-RRLYR-00092	0.3552
OGLE-LMC-RRLYR-00095	0.8668
OGLE-LMC-RRLYR-00096	0.7139
OGLE-LMC-RRLYR-00100	0.6099
OGLE-LMC-RRLYR-00126	0.3853
OGLE-LMC-RRLYR-00127	0.6687
OGLE-LMC-RRLYR-00128	0.556
OGLE-LMC-RRLYR-00134	0.5493
OGLE-LMC-RRLYR-00135	0.3549
OGLE-LMC-RRLYR-00136	0.248
OGLE-LMC-RRLYR-00143	0.3449
OGLE-LMC-RRLYR-00160	0.6873
OGLE-LMC-RRLYR-00166	0.5029
OGLE-LMC-RRLYR-00173	0.3587
OGLE-LMC-RRLYR-00181	0.5993
OGLE-LMC-RRLYR-00190	0.3544
OGLE-LMC-RRLYR-00196	0.549
OGLE-LMC-RRLYR-00200	0.2892
OGLE-LMC-RRLYR-00201	0.5913
OGLE-LMC-RRLYR-00202	0.3094
OGLE-LMC-RRLYR-00213	0.7823
OGLE-LMC-RRLYR-00227	0.9466
OGLE-LMC-RRLYR-00233	0.7383
OGLE-LMC-RRLYR-00242	0.9079
OGLE-LMC-RRLYR-00243	0.5388
OGLE-LMC-RRLYR-00247	0.3877
OGLE-LMC-RRLYR-00252	0.7121
OGLE-LMC-RRLYR-00253	0.5977
OGLE-LMC-RRLYR-00255	0.5378
OGLE-LMC-RRLYR-00259	0.7043
OGLE-LMC-RRLYR-00260	0.3106
OGLE-LMC-RRLYR-00267	0.3087
OGLE-LMC-RRLYR-00281	0.6895
OGLE-LMC-RRLYR-00290	0.5375
OGLE-LMC-RRLYR-00291	0.9604
OGLE-LMC-RRLYR-00302	0.358
OGLE-LMC-RRLYR-00305	0.349
OGLE-LMC-RRLYR-00322	0.9562
OGLE-LMC-RRLYR-00328	0.7921
OGLE-LMC-RRLYR-00330	0.346
OGLE-LMC-RRLYR-00333	0.3158
OGLE-LMC-RRLYR-00340	0.999
OGLE-LMC-RRLYR-00343	0.8935
OGLE-LMC-RRLYR-00346	0.9268
OGLE-LMC-RRLYR-00354	0.2635
OGLE-LMC-RRLYR-00356	0.339
OGLE-LMC-RRLYR-00362	0.8752
OGLE-LMC-RRLYR-00371	0.6605
OGLE-LMC-RRLYR-00374	0.4008
OGLE-LMC-RRLYR-00376	0.5436
OGLE-LMC-RRLYR-00380	0.6763
OGLE-LMC-RRLYR-00382	0.5577
OGLE-LMC-RRLYR-00391	0.8875
OGLE-LMC-RRLYR-00393	0.5484
OGLE-LMC-RRLYR-00403	0.5719
OGLE-LMC-RRLYR-00406	0.3395
OGLE-LMC-RRLYR-00414	0.3334
OGLE-LMC-RRLYR-00419	0.5769
OGLE-LMC-RRLYR-00421	0.4181
OGLE-LMC-RRLYR-00424	0.9203
OGLE-LMC-RRLYR-00425	0.5574
OGLE-LMC-RRLYR-00430	0.3201
OGLE-LMC-RRLYR-00434	0.3267
OGLE-LMC-RRLYR-00437	0.3529
OGLE-LMC-RRLYR-00441	0.3144
OGLE-LMC-RRLYR-00443	0.8995
OGLE-LMC-RRLYR-00448	0.2297
OGLE-LMC-RRLYR-00461	0.9499
OGLE-LMC-RRLYR-00465	0.963
OGLE-LMC-RRLYR-00492	0.5265
OGLE-LMC-RRLYR-00497	0.3079
OGLE-LMC-RRLYR-00498	0.4719
OGLE-LMC-RRLYR-00512	0.7361
OGLE-LMC-RRLYR-00514	0.2541
OGLE-LMC-RRLYR-00524	0.6036
OGLE-LMC-RRLYR-00535	0.4044
OGLE-LMC-RRLYR-00544	0.3828
OGLE-LMC-RRLYR-00547	0.9265
OGLE-LMC-RRLYR-00553	0.6951
OGLE-LMC-RRLYR-00557	0.829
OGLE-LMC-RRLYR-00559	0.6781
OGLE-LMC-RRLYR-00562	0.5702
OGLE-LMC-RRLYR-00564	0.302
OGLE-LMC-RRLYR-00568	0.5095
OGLE-LMC-RRLYR-00576	0.3105
OGLE-LMC-RRLYR-00580	0.333
OGLE-LMC-RRLYR-00587	0.3559
OGLE-LMC-RRLYR-00593	0.997
OGLE-LMC-RRLYR-00594	0.9109
OGLE-LMC-RRLYR-00603	0.3195
OGLE-LMC-RRLYR-00624	0.3231
OGLE-LMC-RRLYR-00627	0.9478
OGLE-LMC-RRLYR-00633	0.9151
OGLE-LMC-RRLYR-00646	0.6149
OGLE-LMC-RRLYR-00651	0.7139
OGLE-LMC-RRLYR-00674	0.3832
OGLE-LMC-RRLYR-00685	0.3034
OGLE-LMC-RRLYR-00687	0.8164
OGLE-LMC-RRLYR-00695	0.7325
OGLE-LMC-RRLYR-00704	0.7095
OGLE-LMC-RRLYR-00719	0.5989
OGLE-LMC-RRLYR-00720	0.327
OGLE-LMC-RRLYR-00721	0.5967
OGLE-LMC-RRLYR-00726	0.3013
OGLE-LMC-RRLYR-00728	0.7177
OGLE-LMC-RRLYR-00737	0.7992
OGLE-LMC-RRLYR-00748	0.6265
OGLE-LMC-RRLYR-00749	0.8748
OGLE-LMC-RRLYR-00753	0.5471
OGLE-LMC-RRLYR-00757	0.3923
OGLE-LMC-RRLYR-00767	0.2534
OGLE-LMC-RRLYR-00769	0.317
OGLE-LMC-RRLYR-00771	0.6299
OGLE-LMC-RRLYR-00775	0.2532
OGLE-LMC-RRLYR-00779	0.8057
OGLE-LMC-RRLYR-00782	0.6988
OGLE-LMC-RRLYR-00783	0.3585
OGLE-LMC-RRLYR-00788	0.9854
OGLE-LMC-RRLYR-00794	0.3146
OGLE-LMC-RRLYR-00795	0.3595
OGLE-LMC-RRLYR-00804	0.7257
OGLE-LMC-RRLYR-00805	0.3176
OGLE-LMC-RRLYR-00817	0.566
OGLE-LMC-RRLYR-00818	0.4837
OGLE-LMC-RRLYR-00823	0.5721
OGLE-LMC-RRLYR-00825	0.4192
OGLE-LMC-RRLYR-00826	0.2658
OGLE-LMC-RRLYR-00832	0.6907
OGLE-LMC-RRLYR-00835	0.7369
OGLE-LMC-RRLYR-00836	0.8205
OGLE-LMC-RRLYR-00839	0.6697
OGLE-LMC-RRLYR-00841	0.6235
OGLE-LMC-RRLYR-00857	0.3853
OGLE-LMC-RRLYR-00868	0.326
OGLE-LMC-RRLYR-00869	0.3621
OGLE-LMC-RRLYR-00891	0.3743
OGLE-LMC-RRLYR-00894	0.7026
OGLE-LMC-RRLYR-00896	0.5029
OGLE-LMC-RRLYR-00902	0.9455
OGLE-LMC-RRLYR-00908	0.3453
OGLE-LMC-RRLYR-00910	0.3584
OGLE-LMC-RRLYR-00919	0.6169
OGLE-LMC-RRLYR-00922	0.574
